Indivíduo,cereais,leites,frutas,cereais,leguminosas,verduras,carnes,ovos,bebidas,verduras,pescados,leites,verduras,gorduras,frutas,Concentração,Custo,Energia Total
50,"Torrada, pão francês","Bebida láctea, pêssego","Acerola, crua","Mingau tradicional, pó","Feijão, rosinha, cozido","Mandioca, crua","Carne, bovina, contra-filé de costela, cru","Ovo, de galinha, gema, cozida/10minutos","Chá, erva-doce, infusão 5%","Beterraba, crua","Cação, posta, com farinha de trigo, frita","Queijo, ricota","Batata, doce, cozida","Óleo, de girassol","Romã, crua",-2.666666666666667,74.25000000000001,2704.786
51,"Pipoca, com óleo de soja, sem sal","Queijo, parmesão","Jabuticaba, crua","Pastel, de carne, frito","Feijão, jalo, cozido","Quiabo, cru","Carne, bovina, costela, assada","Omelete, de queijo","Refrigerante, tipo limão","Feijão, broto, cru","Corimba, cru",Creme de Leite,"Abóbora, pescoço, crua","Manteiga, com sal","Jambo, cru",-2.7333333333333334,80.32200000000002,2866.77
52,"Pastel, massa, frita","Iogurte, natural, desnatado","Fruta-pão, crua","Farinha, de rosca","Feijão, roxo, cru","Polvilho, doce","Carne, bovina, fraldinha, com gordura, crua","Ovo, de galinha, inteiro, cozido/10minutos","Limão, galego, suco","Abobrinha, italiana, refogada","Cação, posta, com farinha de trigo, frita",Creme de Leite,"Manjericão, cru","Óleo, de girassol","Cajá-Manga, cru",-2.8,119.713,3980.0810000000006
53,"Pipoca, com óleo de soja, sem sal","Leite, de vaca, integral, pó","Umbu, cru","Pipoca, com óleo de soja, sem sal","Tremoço, em conserva","Mandioca, cozida","Croquete, de carne, cru","Ovo, de galinha, clara, cozida/10minutos","Bebida isotônica, sabores variados","Mostarda, folha, crua","Pintado, assado","Iogurte, sabor abacaxi","Abobrinha, italiana, refogada","Óleo, de milho","Umbu, cru",-2.4,35.38700000000001,2417.635
54,"Bolo, pronto, aipim","Queijo, parmesão","Açaí, polpa, congelada","Creme de milho, pó","Amendoim, torrado, salgado","Mostarda, folha, crua","Carne, bovina, picanha, sem gordura, grelhada","Omelete, de queijo","Coco, água de","Mandioca, frita","Pescada, filé, com farinha de trigo, frito","Queijo, mozarela","Tomate, purê","Óleo, de girassol","Manga, Tommy Atkins, crua",-2.466666666666667,40.19400000000001,2585.3190000000004
55,"Pão, glúten, forma","Iogurte, sabor pêssego","Ameixa, em calda, enlatada, drenada","Pão, milho, forma","Feijão, rosinha, cozido","Chuchu, cozido","Lingüiça, frango, crua","Omelete, de queijo","Cana, aguardente 1","Quiabo, cru","Pescada, branca, frita","Iogurte, sabor abacaxi","Alho-poró, cru","Óleo, de milho","Mexerica, Murcote, crua",-2.533333333333333,47.025000000000006,3529.956
56,"Lasanha, massa fresca, cozida","Iogurte, sabor morango","Ameixa, em calda, enlatada, drenada","Pastel, de carne, frito","Feijão, jalo, cru","Pão, de queijo, assado","Carne, bovina, coxão mole, sem gordura, cru","Omelete, de queijo","Limão, cravo, suco","Farinha, de mandioca, crua","Salmão, filé, com pele, fresco,  grelhado","Leite, de vaca, integral, pó","Cará, cru","Óleo, de girassol","Laranja, da terra, crua",-2.6,48.422000000000004,2405.2780000000002
57,"Curau, milho verde","Queijo, parmesão","Pequi, cru","Pastel, massa, crua","Soja, extrato solúvel, pó","Mandioca, frita","Empada de frango, pré-cozida, assada","Ovo, de galinha, inteiro, cozido/10minutos","Coco, água de","Coentro, folhas desidratadas","Atum, fresco, cru",Creme de Leite,"Almeirão, refogado","Óleo, de girassol","Cajá-Manga, cru",-2.6666666666666665,74.954,3135.6679999999997
58,"Curau, milho verde","Leite, de vaca, desnatado, pó","Pequi, cru","Pastel, massa, crua","Feijão, roxo, cru","Alface, americana, crua","Carne, bovina, flanco, sem gordura, cru","Ovo, de galinha, inteiro, cozido/10minutos","Laranja, baía, suco","Repolho, branco, cru","Atum, fresco, cru",Creme de Leite,"Almeirão, refogado","Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","Cajá-Manga, cru",-2.685714285714286,81.818,2626.951
59,"Pastel, massa, crua","Queijo, minas, meia cura","Banana, figo, crua","Pastel, de queijo, frito","Grão-de-bico, cru","Mandioca, farofa, temperada","Frango, fígado, cru","Ovo, de galinha, clara, cozida/10minutos","Laranja, valência, suco","Batata, inglesa, frita","Corimbatá, assado","Queijo, minas, meia cura","Rabanete, cru","Óleo, de girassol","Banana, da terra, crua",-2.7333333333333334,91.14599999999999,2627.1189999999997
60,"Macarrão, trigo, cru","Leite, condensado","Laranja, baía, crua","Cereal matinal, milho, açúcar","Amendoim, torrado, salgado","Cebola, crua","Presunto, com capa de gordura","Omelete, de queijo","Limão, galego, suco","Chicória, crua","Corvina de água doce, crua","Leite, fermentado","Pimentão, vermelho, cru","Óleo, de babaçu","Ameixa, calda, enlatada",-2.283333333333333,35.772000000000006,2460.364
61,"Cereal matinal, milho","Iogurte, sabor pêssego","Pequi, cru","Pão, glúten, forma","Paçoca, amendoim","Pimentão, amarelo, cru",Apresuntado,"Omelete, de queijo","Coco, água de","Abobrinha, italiana, cozida","Cação, posta, com farinha de trigo, frita","Queijo, mozarela","Abóbora, cabotian, crua","Azeite, de oliva, extra virgem","Abacaxi, polpa, congelada",-2.35,37.697,2406.936
62,"Canjica, com leite integral","Queijo, ricota","Goiaba, doce em pasta","Arroz, integral, cru","Feijão, carioca, cru","Mandioca, crua","Caldo de carne, tablete","Ovo, de galinha, clara, cozida/10minutos","Refrigerante, tipo limão","Berinjela, crua","Manjuba, com farinha de trigo, frita","Iogurte, sabor pêssego","Farinha, de mandioca, crua","Margarina, com óleo interesterificado, com sal (65%de lipídeos)","Pinha, crua",-2.4,39.852999999999994,2415.898
63,"Arroz, tipo 2, cru","Queijo, prato","Umbu, cru","Pastel, de carne, frito","Amendoim, torrado, salgado","Quiabo, cru","Carne, bovina, costela, assada","Omelete, de queijo","Coco, água de","Jurubeba, crua","Bacalhau, salgado, refogado","Iogurte, natural","Repolho, roxo, cru","Óleo, de girassol","Maracujá, cru",-2.4166666666666665,40.425000000000004,2619.7529999999997
64,"Pão, trigo, forma, integral","Leite, fermentado","Goiaba, doce em pasta","Biscoito, doce, recheado com chocolate","Feijão, carioca, cru","Alface, roxa, crua","Carne, bovina, acém, sem gordura, cru","Omelete, de queijo","Limão, cravo, suco","Farinha, de mandioca, torrada","Dourada de água doce, fresca","Queijo, parmesão","Nhoque, batata, cozido","Óleo, de pequi","Pitanga, crua",-2.466666666666667,41.591,4505.113999999999
65,"Pão, de soja","Queijo, petit suisse, morango","Abiu, cru","Mingau tradicional, pó","Feijão, rosinha, cozido","Rabanete, cru","Carne, bovina, contra-filé de costela, cru","Ovo, de galinha, gema, cozida/10minutos","Chá, erva-doce, infusão 5%","Alface, crespa, crua","Corimba, cru","Queijo, pasteurizado","Farinha, de mandioca, torrada","Margarina, com óleo interesterificado, sem sal (65% de lipídeos)","Romã, crua",-2.4833333333333334,49.247,2429.8250000000003
66,"Arroz, tipo 1, cozido","Queijo, mozarela","Pequi, cru","Milho, fubá, cru","Feijão, preto, cru","Catalonha, crua","Carne, bovina, costela, assada","Ovo, de codorna, inteiro, cru","Café, infusão 10%","Polvilho, doce","Abadejo, filé, congelado, assado","Iogurte, sabor abacaxi","Batata, baroa, cozida","Azeite, de dendê","Umbu, cru",-2.533333333333333,50.655,2449.1620000000003
67,"Cereais, milho, flocos, sem sal","Leite, de cabra","Tamarindo, cru","Pastel, de queijo, cru","Feijão, fradinho, cru","Abobrinha, italiana, cozida","Lingüiça, frango, grelhada","Ovo, de galinha, clara, cozida/10minutos","Laranja, baía, suco","Mandioca, frita","Bacalhau, salgado, refogado","Leite, de vaca, desnatado, pó","Cenoura, cozida","Óleo, de girassol","Uva, Rubi, crua",-2.6,60.14800000000001,2423.6839999999993
68,"Pastel, massa, crua","Leite, de vaca, integral, pó","Jambo, cru","Pastel, de queijo, frito","Feijão, preto, cru","Catalonha, crua","Carne, bovina, costela, assada","Ovo, de codorna, inteiro, cru","Café, infusão 10%","Polvilho, doce","Abadejo, filé, congelado, assado","Iogurte, sabor abacaxi","Batata, inglesa, crua","Óleo, de canola","Umbu, cru",-2.6666666666666665,76.637,2424.171
69,"Cereais, mingau, milho, infantil","Iogurte, natural","Pequi, cru","Mingau tradicional, pó","Grão-de-bico, cru","Alho, cru","Frango, peito, com pele, cru","Ovo, de galinha, clara, cozida/10minutos","Cana, caldo de","Tomate, purê","Corimbatá, assado","Queijo, requeijão, cremoso","Abóbora, cabotian, crua","Óleo, de girassol","Fruta-pão, crua",-2.7333333333333334,91.92699999999999,2427.859
70,"Pão, aveia, forma","Queijo, petit suisse, morango","Goiaba, doce em pasta","Cereal matinal, milho, açúcar","Amendoim, torrado, salgado","Alface, americana, crua","Lingüiça, frango, grelhada","Ovo, de galinha, clara, cozida/10minutos","Café, infusão 10%","Cará, cozido","Bacalhau, salgado, refogado","Leite, de vaca, integral, pó","Alho, cru","Margarina, com óleo interesterificado, com sal (65%de lipídeos)","Banana, doce em barra",-2.216666666666667,36.20099999999999,3431.6499999999996
71,"Cereais, mingau, milho, infantil","Queijo, parmesão","Tamarindo, cru","Pastel, massa, crua","Soja, extrato solúvel, pó","Mandioca, frita","Carne, bovina, paleta, sem gordura, crua","Ovo, de galinha, clara, cozida/10minutos","Bebida isotônica, sabores variados","Mandioca, crua","Salmão, filé, com pele, fresco,  grelhado","Iogurte, sabor pêssego","Almeirão, refogado","Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","Laranja, valência, crua",-2.2666666666666666,38.895999999999994,4342.545
72,"Pastel, massa, crua","Iogurte, sabor morango","Ameixa, em calda, enlatada, drenada","Pastel, de queijo, frito","Feijão, fradinho, cru","Mandioca, farofa, temperada","Frango, coração, cru","Ovo, de galinha, clara, cozida/10minutos","Bebida isotônica, sabores variados","Alho-poró, cru","Pescada, branca, frita","Leite, de vaca, integral, pó","Agrião, cru","Óleo, de girassol","Jambo, cru",-2.333333333333333,40.568,2414.02
73,"Farinha, de arroz, enriquecida","Bebida láctea, pêssego","Goiaba, doce em pasta","Pão, trigo, francês","Feijão, rosinha, cru","Taioba, crua","Frango, coxa, sem pele, cozida","Omelete, de queijo","Coco, água de","Mandioca, cozida","Bacalhau, salgado, refogado","Leite, de vaca, integral","Tomate, molho industrializado","Óleo, de girassol","Uva, Rubi, crua",-2.466666666666667,42.339000000000006,3833.115999999999
74,"Creme de milho, pó","Queijo, requeijão, cremoso","Macaúba, crua","Pastel, massa, crua","Grão-de-bico, cru","Cenoura, cozida","Frango, peito, com pele, cru","Ovo, de galinha, clara, cozida/10minutos","Laranja, da terra, suco","Farinha, de mandioca, torrada","Dourada de água doce, fresca","Queijo, mozarela","Brócolis, cozido","Óleo, de canola","Jamelão, cru",-2.533333333333333,51.29299999999999,2445.8480000000004
75,"Arroz, tipo 1, cru","Iogurte, sabor pêssego","Macaúba, crua","Cereal matinal, milho, açúcar","Amendoim, torrado, salgado","Pimentão, amarelo, cru","Carne, bovina, costela, assada","Ovo, de galinha, clara, cozida/10minutos","Laranja, pêra, suco","Abobrinha, italiana, cozida","Salmão, sem pele, fresco, cru","Leite, condensado","Farinha, de mandioca, crua","Óleo, de milho","Jambo, cru",-2.6,60.390000000000015,2544.935
76,"Lasanha, massa fresca, cozida","Queijo, minas, meia cura","Pequi, cru","Farinha, de rosca","Amendoim, torrado, salgado","Chuchu, cozido","Carne, bovina, patinho, sem gordura, cru","Omelete, de queijo","Uva, suco concentrado, envasado","Abóbora, cabotian, cozida","Corimba, cru",Creme de Leite,"Pimentão, verde, cru","Óleo, de girassol","Uva, Rubi, crua",-2.6285714285714286,91.289,3716.091
77,"Cereais, mistura para vitamina, trigo, cevada e aveia","Queijo, prato","Atemóia, crua","Milho, verde, cru","Feijão, rosinha, cru","Quiabo, cru","Hambúrguer, bovino, grelhado","Ovo, de galinha, inteiro, cru","Uva, suco concentrado, envasado","Feijão, broto, cru","Pintado, grelhado",Creme de Leite,"Manjericão, cru","Óleo, de babaçu","Mamão verde, doce em calda, drenado",-2.6666666666666665,97.58099999999999,3109.2009999999996
78,"Cereais, milho, flocos, sem sal","Queijo, pasteurizado","Tamarindo, cru","Pastel, de queijo, frito","Feijão, fradinho, cru","Taioba, crua","Frango, fígado, cru","Ovo, de galinha, clara, cozida/10minutos","Café, infusão 10%","Mandioca, frita","Abadejo, filé, congelado, assado","Queijo, minas, meia cura","Seleta de legumes, enlatada","Manteiga, com sal","Umbu, cru",-2.685714285714286,106.348,3315.748
79,"Lasanha, massa fresca, cozida","Iogurte, sabor pêssego","Fruta-pão, crua","Cereal matinal, milho","Feijão, jalo, cru","Caruru, cru","Carne, bovina, fraldinha, com gordura, crua","Ovo, de galinha, clara, cozida/10minutos","Refrigerante, tipo guaraná","Manjericão, cru","Salmão, filé, com pele, fresco,  grelhado",Creme de Leite,"Batata, baroa, cozida","Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","Cajá-Manga, cru",-2.7142857142857144,107.22799999999998,3004.6270000000004
80,"Curau, milho verde, mistura para","Queijo, pasteurizado","Tamarindo, cru","Creme de milho, pó","Guandu, cru","Manjericão, cru","Carne, bovina, contra-filé de costela, grelhado","Ovo, de galinha, inteiro, frito","Limão, galego, suco","Almeirão, refogado","Salmão, filé, com pele, fresco,  grelhado","Queijo, petit suisse, morango","Palmito, juçara, em conserva","Óleo, de babaçu","Mamão, doce em calda, drenado",-1.2738095238095237,37.333999999999996,4562.043
81,"Cereais, milho, flocos, sem sal","Iogurte, sabor pêssego","Goiaba, doce em pasta","Lasanha, massa fresca, cozida","Ervilha, em vagem","Chicória, crua","Carne, bovina, costela, crua","Ovo, de galinha, clara, cozida/10minutos","Coco, água de","Catalonha, crua","Merluza, filé, assado","Queijo, petit suisse, morango","Tomate, purê","Óleo, de girassol","Manga, Tommy Atkins, crua",-2.1666666666666665,39.743,2446.736999999999
82,"Pão, aveia, forma","Queijo, mozarela","Tamarindo, cru","Torrada, pão francês","Feijão, fradinho, cru","Tomate, salada","Carne, bovina, filé mingnon, sem gordura, cru","Ovo, de galinha, clara, cozida/10minutos","Café, infusão 10%","Cará, cozido","Porquinho, cru","Queijo, minas, frescal","Tomate, purê","Óleo, de girassol","Uva, Rubi, crua",-2.283333333333333,43.21900000000001,2459.525
83,"Farinha, de centeio, integral","Iogurte, sabor morango","Cacau, cru","Pipoca, com óleo de soja, sem sal","Tremoço, em conserva","Mandioca, cozida","Carne, bovina, patinho, sem gordura, cru","Omelete, de queijo","Refrigerante, tipo água tônica","Mostarda, folha, crua","Sardinha, inteira, crua","Queijo, pasteurizado","Abóbora, pescoço, crua","Óleo, de milho","Cacau, cru",-2.457142857142857,43.802,2540.343
84,"Lasanha, massa fresca, cozida","Iogurte, sabor pêssego","Pequi, cru","Pastel, de carne, cru","Feijão, carioca, cru","Pimentão, amarelo, cru",Apresuntado,"Omelete, de queijo","Cana, aguardente 1","Abobrinha, italiana, cozida","Sardinha, inteira, crua","Queijo, mozarela","Abóbora, pescoço, crua","Óleo, de girassol","Abacaxi, cru",-2.466666666666667,44.671,3355.0899999999997
85,"Cereais, mistura para vitamina, trigo, cevada e aveia","Leite, de vaca, desnatado, UHT","Macaúba, crua","Arroz, integral, cru","Grão-de-bico, cru","Catalonha, crua","Frango, coxa, com pele, assada","Ovo, de codorna, inteiro, cru","Tangerina, Poncã, suco","Mandioca, crua","Pintado, grelhado","Leite, de vaca, desnatado, UHT","Inhame, cru","Óleo, de soja","Limão, tahiti, cru",-2.533333333333333,52.305,3079.0
86,"Milho, verde, enlatado, drenado","Queijo, petit suisse, morango","Melão, cru","Pastel, de queijo, frito","Feijão, preto, cru","Tomate, com semente, cru","Carne, bovina, flanco, sem gordura, cozido","Ovo, de galinha, inteiro, cru","Refrigerante, tipo água tônica","Polvilho, doce","Tucunaré, filé, congelado, cru","Leite, condensado","Mandioca, farofa, temperada","Óleo, de soja","Jambo, cru",-2.6,60.566,2412.4770000000003
87,"Farinha, de rosca","Queijo, requeijão, cremoso","Macaúba, crua","Pastel, massa, crua","Amendoim, torrado, salgado","Cenoura, cozida","Carne, bovina, fígado, cru","Ovo, de galinha, clara, cozida/10minutos","Laranja, da terra, suco","Farinha, de mandioca, torrada","Abadejo, filé, congelado, grelhado","Leite, condensado","Brócolis, cozido","Óleo, de milho","Açaí, polpa, congelada",-2.6666666666666665,119.746,2413.6290000000004
88,"Pipoca, com óleo de soja, sem sal","Queijo, parmesão","Abacate, cru","Pastel, de carne, frito","Feijão, jalo, cozido","Abóbora, cabotian, crua","Carne, bovina, costela, assada","Omelete, de queijo","Bebida isotônica, sabores variados","Cará, cozido","Corimba, cru","Queijo, petit suisse, morango","Tomate, purê","Manteiga, sem sal","Cacau, cru",-1.1404761904761906,39.86399999999999,3094.1539999999995
89,"Biscoito, doce, maisena","Iogurte, natural, desnatado","Umbu, cru","Curau, milho verde, mistura para","Feijão, roxo, cru","Mandioca, cozida","Carne, bovina, patinho, sem gordura, cru","Ovo, de galinha, clara, cozida/10minutos","Uva, suco concentrado, envasado","Jurubeba, crua","Corvina grande, assada","Leite, de vaca, integral, pó","Manjericão, cru","Óleo, de milho","Umbu, cru",-2.1555555555555554,40.018,2753.484
90,"Cereais, mingau, milho, infantil","Leite, de vaca, desnatado, pó","Tamarindo, cru","Biscoito, doce, wafer, recheado de chocolate","Soja, extrato solúvel, natural, fluido","Salsa, crua","Frango, coxa, com pele, assada","Ovo, de galinha, inteiro, frito","Limão, galego, suco","Almeirão, refogado","Corimbatá, assado","Leite, condensado","Palmito, juçara, em conserva","Azeite, de oliva, extra virgem","Mamão, doce em calda, drenado",-2.216666666666667,44.22,4576.434
91,"Pipoca, com óleo de soja, sem sal","Queijo, prato","Pequi, cru","Farinha, láctea, de cereais","Feijão, carioca, cozido","Repolho, roxo, refogado",Apresuntado,"Ovo, de galinha, inteiro, frito","Limão, galego, suco","Feijão, broto, cru","Pescada, filé, frito","Bebida láctea, pêssego","Abóbora, cabotian, cozida","Margarina, com óleo hidrogenado, sem sal (80% de lipídeos)","Pêra, Park, crua",-2.276190476190476,45.49600000000001,2423.489
92,"Biscoito, doce, wafer, recheado de chocolate","Queijo, requeijão, cremoso","Pequi, cru","Farinha, láctea, de cereais","Feijão, preto, cru","Alface, roxa, crua","Carne, bovina, lagarto, cru","Omelete, de queijo","Refrigerante, tipo água tônica","Mandioca, frita","Bacalhau, salgado, refogado","Queijo, requeijão, cremoso","Tomate, purê","Óleo, de girassol","Abacaxi, polpa, congelada",-2.3619047619047615,49.126,4418.791
93,"Farinha, de arroz, enriquecida","Iogurte, natural, desnatado","Macaúba, crua","Arroz, tipo 1, cozido","Amendoim, torrado, salgado","Pimentão, amarelo, cru","Carne, bovina, charque, cozido","Omelete, de queijo","Laranja, da terra, suco","Farinha, de mandioca, crua","Corvina grande, assada","Leite, de vaca, integral, pó","Alface, roxa, crua","Óleo, de milho","Graviola, crua",-2.466666666666667,50.49000000000001,2410.1479999999992
94,"Bolo, pronto, aipim","Iogurte, natural","Goiaba, doce em pasta","Curau, milho verde, mistura para","Feijão, jalo, cozido","Chicória, crua","Frango, inteiro, com pele, cru","Ovo, de galinha, clara, cozida/10minutos","Bebida isotônica, sabores variados","Mandioca, cozida","Cação, posta, com farinha de trigo, frita","Queijo, petit suisse, morango","Abóbora, cabotian, crua","Óleo, de girassol","Banana, da terra, crua",-2.533333333333333,53.60300000000001,2493.1310000000003
95,"Pastel, massa, crua","Iogurte, natural","Fruta-pão, crua","Farinha, de rosca","Amendoim, torrado, salgado","Polvilho, doce","Frango, fígado, cru","Ovo, de galinha, clara, cozida/10minutos","Limão, galego, suco","Maxixe, cru","Abadejo, filé, congelado, assado","Queijo, minas, meia cura","Rabanete, cru","Óleo, de milho","Cajá-Manga, cru",-2.5714285714285716,70.79599999999999,2412.1659999999997
96,"Macarrão, trigo, cru","Leite, condensado","Macaúba, crua","Cereal matinal, milho, açúcar","Amendoim, torrado, salgado","Quiabo, cru","Presunto, com capa de gordura","Ovo, de galinha, clara, cozida/10minutos","Cana, aguardente 1","Alfavaca, crua","Lambari, congelado, frito",Creme de Leite,"Abobrinha, paulista, crua","Óleo, de babaçu","Caqui, chocolate, cru",-2.6,71.86300000000001,4035.631999999999
97,"Farinha, de trigo","Queijo, parmesão","Açaí, polpa, congelada","Milho, verde, cru","Amendoim, grão, cru","Quiabo, cru","Empada de frango, pré-cozida, assada","Omelete, de queijo","Coco, água de","Feijão, broto, cru","Cação, posta, com farinha de trigo, frita",Creme de Leite,"Manjericão, cru","Óleo, de babaçu","Uva, Rubi, crua",-2.6666666666666665,124.003,3522.813
98,"Arroz, integral, cru","Queijo, minas, meia cura","Macaúba, crua","Pão, de soja","Amendoim, torrado, salgado","Abobrinha, italiana, refogada","Croquete, de carne, cru","Omelete, de queijo","Limão, galego, suco","Taioba, crua","Porquinho, cru","Bebida láctea, pêssego","Cará, cozido","Óleo, de milho","Mamão, doce em calda, drenado",-1.7690476190476192,41.084999999999994,3441.0689999999995
99,"Pipoca, com óleo de soja, sem sal","Bebida láctea, pêssego","Tamarindo, cru","Pastel, de carne, frito","Feijão, rajado, cru","Abóbora, moranga, refogada","Carne, bovina, patinho, sem gordura, cru","Omelete, de queijo","Coco, água de","Mandioca, cozida","Cação, posta, com farinha de trigo, frita","Queijo, requeijão, cremoso","Pimentão, verde, cru","Óleo, de girassol","Pequi, cru",-2.6,74.11800000000001,2415.0389999999998
100,"Pipoca, com óleo de soja, sem sal","Iogurte, sabor pêssego","Manga, Tommy Atkins, crua","Pastel, de carne, frito","Feijão, jalo, cru","Quiabo, cru","Hambúrguer, bovino, grelhado","Ovo, de galinha, inteiro, cozido/10minutos","Café, infusão 10%","Feijão, broto, cru","Lambari, fresco, cru",Creme de Leite,"Almeirão, refogado","Margarina, com óleo hidrogenado, sem sal (80% de lipídeos)","Maracujá, cru",-2.8666666666666667,87.38399999999997,2995.015
