Indivíduo,cereais,leites,frutas,cereais,leguminosas,verduras,carnes,ovos,bebidas,verduras,pescados,leites,verduras,gorduras,frutas,Concentração,Custo,Energia Total
150,"Pastel, massa, crua","Queijo, pasteurizado","Fruta-pão, crua","Macarrão, trigo, cru, com ovos","Feijão, jalo, cozido","Salsa, crua","Carne, bovina, lagarto, cozido","Ovo, de galinha, clara, cozida/10minutos","Café, infusão 10%","Mandioca, frita","Cação, posta, cozida","Iogurte, sabor pêssego","Pimentão, vermelho, cru","Óleo, de girassol","Laranja, lima, crua",-2.6666666666666665,64.933,2418.9519999999998
151,"Pipoca, com óleo de soja, sem sal","Queijo, minas, frescal","Banana, figo, crua","Lasanha, massa fresca, crua","Grão-de-bico, cru","Abóbora, cabotian, crua","Frango, coxa, sem pele, crua","Ovo, de galinha, inteiro, frito","Limão, galego, suco","Nhoque, batata, cozido","Cação, posta, com farinha de trigo, frita","Iogurte, natural, desnatado","Abóbora, cabotian, crua","Óleo, de babaçu","Uva, Rubi, crua",-1.5619047619047621,152.82299999999995,5425.941999999999
152,"Cereais, mingau, milho, infantil","Leite, de vaca, integral, pó","Graviola, crua","Cereais, mistura para vitamina, trigo, cevada e aveia","Feijão, roxo, cru","Espinafre, Nova Zelândia, refogado","Frango, coxa, sem pele, cozida","Ovo, de galinha, gema, cozida/10minutos","Uva, suco concentrado, envasado","Mandioca, frita","Pescadinha, crua",Creme de Leite,"Tomate, purê","Manteiga, com sal","Banana, da terra, crua",-2.7333333333333334,34.859,3544.8160000000007
153,"Pastel, de carne, frito","Queijo, pasteurizado","Ameixa, em calda, enlatada, drenada","Pastel, de carne, frito","Feijão, fradinho, cru","Abóbora, cabotian, crua","Carne, bovina, costela, assada","Ovo, de galinha, inteiro, cru","Coco, água de","Nhoque, batata, cozido","Corimba, cru","Leite, de vaca, integral, pó","Tomate, purê","Óleo, de milho","Uva, Rubi, crua",-2.1333333333333333,44.792,4347.629999999999
154,"Lasanha, massa fresca, cozida","Leite, de vaca, desnatado, pó","Tamarindo, cru","Arroz, tipo 2, cozido","Feijão, jalo, cru","Tomate, salada","Frango, fígado, cru","Ovo, de galinha, inteiro, frito","Uva, suco concentrado, envasado","Farinha, de mandioca, crua","Lambari, congelado, frito","Leite, de cabra","Repolho, roxo, refogado","Óleo, de canola","Maçã, Argentina, com casca, crua",-0.9619047619047617,140.184,3079.3410000000003
155,"Polenta, pré-cozida","Queijo, minas, meia cura","Acerola, crua","Biscoito, doce, maisena","Grão-de-bico, cru","Caruru, cru","Empada, de frango, pré-cozida","Ovo, de galinha, clara, cozida/10minutos","Chá, preto, infusão 5%","Repolho, branco, cru","Corvina grande, assada",Creme de Leite,"Pão, de queijo, assado","Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","Nêspera, crua",-0.9523809523809524,165.011,2966.557
156,"Arroz, integral, cozido","Iogurte, natural, desnatado","Maçã, Argentina, com casca, crua","Pastel, de carne, frito","Tremoço, em conserva","Quiabo, cru","Carne, bovina, acém, sem gordura, cru","Ovo, de galinha, inteiro, cru","Cana, aguardente 1","Cará, cozido","Camarão, Rio Grande, grande, cozido","Leite, de vaca, integral, pó","Mandioca, cozida","Óleo, de milho","Mexerica, Murcote, crua",-1.8952380952380952,98.813,3008.5529999999994
157,"Macarrão, trigo, cru","Queijo, pasteurizado","Banana, ouro, crua","Biscoito, doce, recheado com morango","Grão-de-bico, cru","Salsa, crua","Carne, bovina, acém, sem gordura, cru","Ovo, de codorna, inteiro, cru","Cana, aguardente 1","Feijão, broto, cru","Abadejo, filé, congelado,cozido","Queijo, mozarela","Couve-flor, crua","Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","Caqui, chocolate, cru",-1.8357142857142859,104.42299999999997,4670.27
158,"Polenta, pré-cozida","Queijo, pasteurizado","Ameixa, em calda, enlatada, drenada","Farinha, láctea, de cereais","Feijão, preto, cozido","Quiabo, cru","Carne, bovina, acém, sem gordura, cru","Ovo, de galinha, gema, cozida/10minutos","Bebida isotônica, sabores variados","Abóbora, moranga, refogada","Pescada, filé, com farinha de trigo, frito","Queijo, requeijão, cremoso","Beterraba, crua","Óleo, de soja","Caqui, chocolate, cru",-2.4,41.60199999999999,2427.7780000000007
159,"Curau, milho verde, mistura para","Leite, condensado","Manga, polpa, congelada","Macarrão, instantâneo","Feijão, jalo, cozido","Nhoque, batata, cozido","Carne, bovina, charque, cozido","Ovo, de galinha, inteiro, frito","Refrigerante, tipo laranja","Chuchu, cru","Pescada, filé, frito","Leite, de vaca, integral, pó","Mostarda, folha, crua","Óleo, de girassol","Cajá-Manga, cru",-1.7619047619047619,145.684,3071.0480000000002
160,"Pipoca, com óleo de soja, sem sal","Queijo, minas, meia cura","Pêssego, enlatado, em calda","Pastel, de carne, frito","Amendoim, torrado, salgado","Espinafre, Nova Zelândia, refogado","Carne, bovina, fraldinha, com gordura, crua","Ovo, de galinha, inteiro, frito","Tangerina, Poncã, suco","Quiabo, cru","Bacalhau, salgado, refogado",Creme de Leite,"Manjericão, cru","Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","Mexerica, Murcote, crua",-0.5333333333333332,297.341,3864.04
161,"Bolo, pronto, coco","Iogurte, sabor pêssego","Açaí, polpa, congelada","Lasanha, massa fresca, cozida","Feijão, fradinho, cozido","Abóbora, moranga, crua","Carne, bovina, costela, crua","Ovo, de galinha, inteiro, cru","Coco, água de","Pimentão, verde, cru","Pintado, assado","Queijo, mozarela","Cará, cozido","Óleo, de babaçu","Uva, Rubi, crua",-1.3976190476190478,166.18799999999996,2512.03
162,"Pipoca, com óleo de soja, sem sal","Queijo, petit suisse, morango","Goiaba, doce em pasta","Pão, milho, forma","Grão-de-bico, cru","Maxixe, cru","Frango, coxa, sem pele, cozida","Ovo, de galinha, clara, cozida/10minutos","Laranja, pêra, suco","Chicória, crua","Abadejo, filé, congelado, assado","Leite, de vaca, achocolatado","Taioba, crua","Azeite, de oliva, extra virgem","Banana, doce em barra",-2.333333333333333,109.241,2451.985
163,"Pipoca, com óleo de soja, sem sal","Queijo, parmesão","Manga, polpa, congelada","Pastel, de carne, frito","Feijão, jalo, cru","Mandioca, cozida","Frango, coxa, sem pele, crua","Ovo, de galinha, clara, cozida/10minutos","Refrigerante, tipo água tônica","Quiabo, cru","Pescada, branca, frita","Leite, de vaca, integral, pó","Almeirão, refogado","Margarina, com óleo interesterificado, sem sal (65% de lipídeos)","Mexerica, Murcote, crua",-0.5690476190476191,105.006,6031.034
164,"Pipoca, com óleo de soja, sem sal","Leite, fermentado","Pequi, cru","Pastel, de queijo, cru","Feijão, jalo, cozido","Alho, cru",Apresuntado,"Ovo, de galinha, clara, cozida/10minutos","Café, infusão 10%","Mandioca, frita","Corvina grande, cozida","Queijo, prato","Abóbora, cabotian, crua","Óleo, de girassol","Carambola, crua",-2.4166666666666665,49.87400000000001,2430.496
165,"Macarrão, trigo, cru, com ovos","Iogurte, sabor morango","Maçã, Fuji, com casca, crua","Bolo, pronto, coco","Feijão, preto, cru","Vagem, crua","Carne, bovina, costela, crua","Ovo, de galinha, clara, cozida/10minutos","Café, infusão 10%","Nhoque, batata, cozido","Pescada, branca, crua","Bebida láctea, pêssego","Mandioca, farofa, temperada","Manteiga, sem sal","Caqui, chocolate, cru",-0.55,200.38699999999997,4806.4220000000005
166,"Biscoito, doce, wafer, recheado de chocolate","Queijo, minas, meia cura","Goiaba, doce em pasta","Pão, glúten, forma","Feijão, preto, cru","Chicória, crua","Carne, bovina, lagarto, cru","Ovo, de codorna, inteiro, cru","Refrigerante, tipo limão","Mandioca, frita","Bacalhau, salgado, refogado","Leite, de vaca, integral, pó","Tomate, purê","Óleo, de babaçu","Mexerica, Murcote, crua",-1.5714285714285712,143.726,3473.6220000000003
167,"Biscoito, doce, wafer, recheado de morango","Leite, fermentado","Pequi, cru","Bolo, pronto, coco","Feijão, jalo, cozido","Quiabo, cru","Carne, bovina, coxão mole, sem gordura, cru","Ovo, de galinha, inteiro, cru","Cana, aguardente 1","Nhoque, batata, cozido","Corvina de água doce, crua","Leite, de vaca, desnatado, pó","Pepino, cru","Margarina, com óleo interesterificado, com sal (65%de lipídeos)","Graviola, polpa, congelada",-2.4833333333333334,56.463,4005.830000000001
168,"Milho, fubá, cru","Queijo, requeijão, cremoso","Pequi, cru","Farinha, láctea, de cereais","Feijão, rajado, cozido","Alho, cru","Lingüiça, porco, grelhada","Omelete, de queijo","Bebida isotônica, sabores variados","Tomate, purê","Porquinho, cru","Queijo, mozarela","Batata, baroa, cozida","Óleo, de girassol","Abacaxi, polpa, congelada",-2.5142857142857142,67.22099999999999,2427.5269999999996
169,"Biscoito, doce, maisena","Iogurte, sabor abacaxi","Tucumã, cru","Farinha, láctea, de cereais","Lentilha, cozida","Pepino, cru","Carne, bovina, costela, crua","Omelete, de queijo","Bebida isotônica, sabores variados","Alface, crespa, crua","Pescadinha, crua","Queijo, requeijão, cremoso","Pão, de queijo, cru","Óleo, de milho","Maçã, Argentina, com casca, crua",-2.7333333333333334,62.74399999999999,2421.003
170,"Pão, glúten, forma","Leite, de vaca, integral","Umbu, polpa, congelada","Milho, fubá, cru","Feijão, rajado, cru","Couve-flor, crua","Carne, bovina, flanco, sem gordura, cru","Ovo, de codorna, inteiro, cru","Cana, aguardente 1","Feijão, broto, cru","Camarão, Rio Grande, grande, cozido","Iogurte, sabor morango","Quiabo, cru","Óleo, de girassol","Açaí, polpa, com xarope de guaraná e glucose",-0.9523809523809522,216.21599999999998,3461.951
171,"Cereais, mingau, milho, infantil","Queijo, mozarela","Goiaba, vermelha, com casca, crua","Lasanha, massa fresca, cozida","Ervilha, enlatada, drenada","Chicória, crua","Carne, bovina, acém, moído, cru","Ovo, de galinha, clara, cozida/10minutos","Refrigerante, tipo limão","Cará, cru","Abadejo, filé, congelado, cru","Leite, de vaca, achocolatado","Couve-flor, cozida","Óleo, de pequi","Maracujá, polpa, congelada",-1.7142857142857142,135.18999999999997,2467.764
172,"Biscoito, doce, recheado com chocolate","Leite, de vaca, desnatado, UHT","Ciriguela, crua","Arroz, tipo 2, cozido","Guandu, cru","Coentro, folhas desidratadas","Hambúrguer, bovino, cru","Ovo, de galinha, inteiro, cru","Limão, cravo, suco","Cenoura, cozida","Abadejo, filé, congelado, assado","Queijo, minas, meia cura","Acelga, crua","Margarina, com óleo interesterificado, sem sal (65% de lipídeos)","Ameixa, em calda, enlatada, drenada",-0.1261904761904762,126.38999999999999,2881.4939999999992
173,"Pão, glúten, forma","Iogurte, sabor pêssego","Tucumã, cru","Pastel, de carne, frito","Feijão, rajado, cozido","Abóbora, cabotian, crua","Carne, bovina, coxão mole, sem gordura, cozido","Omelete, de queijo","Refrigerante, tipo laranja","Tomate, salada","Caranguejo, cozido","Leite, de vaca, integral","Nhoque, batata, cozido","Óleo, de pequi","Caju, polpa, congelada",-1.980952380952381,136.499,3151.894
174,"Farinha, de arroz, enriquecida","Iogurte, sabor abacaxi","Goiaba, branca, com casca, crua","Farinha, láctea, de cereais","Feijão, preto, cozido","Jiló, cru","Carne, bovina, costela, crua","Omelete, de queijo","Coco, água de","Mostarda, folha, crua","Pescada, filé, com farinha de trigo, frito","Bebida láctea, pêssego","Almeirão, cru","Óleo, de milho","Goiaba, vermelha, com casca, crua",-2.4,46.244,4330.724
175,"Biscoito, doce, recheado com morango",Creme de Leite,"Cacau, cru","Pastel, de carne, cru","Feijão, rajado, cozido","Jiló, cru","Frango, coxa, sem pele, cozida","Ovo, de galinha, inteiro, cozido/10minutos","Laranja, pêra, suco","Jurubeba, crua","Sardinha, inteira, crua","Iogurte, sabor abacaxi","Chuchu, cozido","Óleo, de canola","Cacau, cru",-0.9380952380952381,119.66899999999998,3593.011
176,"Arroz, tipo 2, cozido","Queijo, requeijão, cremoso","Goiaba, doce em pasta","Cereal matinal, milho, açúcar","Amendoim, grão, cru","Pimentão, verde, cru","Frango, coxa, sem pele, cozida","Ovo, de galinha, clara, cozida/10minutos","Coco, água de","Mandioca, frita","Camarão, Rio Grande, grande, cozido",Creme de Leite,"Manjericão, cru","Óleo, de girassol","Uva, Rubi, crua",-2.2,87.626,7630.378
177,"Cereais, mistura para vitamina, trigo, cevada e aveia","Queijo, prato","Pequi, cru","Cereal matinal, milho, açúcar","Feijão, rosinha, cru","Palmito, pupunha, em conserva","Croquete, de carne, cru","Ovo, de galinha, clara, cozida/10minutos","Refrigerante, tipo limão","Agrião, cru","Salmão, filé, com pele, fresco,  grelhado","Iogurte, sabor morango","Serralha, crua","Óleo, de babaçu","Açaí, polpa, congelada",-1.9904761904761903,87.945,2420.6749999999997
178,"Farinha, de arroz, enriquecida","Leite, de vaca, desnatado, pó","Tamarindo, cru","Pastel, de carne, frito","Ervilha, enlatada, drenada","Agrião, cru","Toucinho, frito","Omelete, de queijo","Limão, cravo, suco","Nhoque, batata, cozido","Lambari, fresco, cru","Leite, de vaca, integral, pó","Manjericão, cru","Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","Caju, cru",-2.3904761904761904,32.527,5155.534
179,"Farinha, de trigo","Queijo, parmesão","Ameixa, em calda, enlatada, drenada","Pastel, de carne, frito","Lentilha, cozida","Espinafre, Nova Zelândia, refogado","Carne, bovina, paleta, com gordura, crua","Ovo, de codorna, inteiro, cru","Coco, água de","Quiabo, cru","Lambari, fresco, cru",Creme de Leite,"Jiló, cru","Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","Uva, Rubi, crua",-2.8,76.934,3087.6369999999997
180,"Macarrão, trigo, cru","Leite, condensado","Cupuaçu, cru","Farinha, láctea, de cereais","Soja, queijo (tofu)","Maxixe, cru","Carne, bovina, coxão duro, sem gordura, cozido","Ovo, de galinha, inteiro, frito","Cana, aguardente 1","Abobrinha, italiana, refogada","Porquinho, cru","Iogurte, sabor abacaxi","Mandioca, cozida","Óleo, de girassol","Melão, cru",-0.4166666666666665,129.29400000000004,4771.384
181,"Lasanha, massa fresca, cozida","Iogurte, sabor morango","Laranja, baía, crua","Cereal matinal, milho, açúcar","Guandu, cru","Agrião, cru","Carne, bovina, paleta, sem gordura, cozida","Ovo, de galinha, inteiro, frito","Limão, galego, suco","Abóbora, menina brasileira, crua","Cação, posta, com farinha de trigo, frita","Queijo, petit suisse, morango","Abobrinha, paulista, crua","Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","Manga, Palmer, crua",0.033333333333333326,163.05300000000003,2452.685
182,"Biscoito, doce, wafer, recheado de chocolate","Queijo, parmesão","Atemóia, crua","Pastel, de carne, frito","Feijão, preto, cru","Batata, baroa, crua","Carne, bovina, lagarto, cru","Ovo, de galinha, clara, cozida/10minutos","Refrigerante, tipo cola","Mandioca, frita","Corimba, cru","Queijo, minas, meia cura","Manjericão, cru","Margarina, com óleo interesterificado, com sal (65%de lipídeos)","Maracujá, cru",-1.2571428571428571,141.54800000000003,7221.987000000001
183,"Pastel, massa, crua","Iogurte, sabor morango","Goiaba, doce em pasta","Pastel, de queijo, cru","Feijão, fradinho, cru","Mandioca, farofa, temperada","Carne, bovina, lagarto, cru","Ovo, de galinha, clara, cozida/10minutos","Café, infusão 10%","Mandioca, frita","Salmão, sem pele, fresco, grelhado","Queijo, minas, frescal","Mandioca, farofa, temperada","Óleo, de milho","Uva, Rubi, crua",-2.7333333333333334,26.532000000000004,2406.475
184,"Pastel, de carne, frito","Iogurte, sabor pêssego","Tamarindo, cru","Pastel, de queijo, frito","Feijão, jalo, cru","Alho, cru","Carne, bovina, flanco, sem gordura, cozido","Ovo, de galinha, inteiro, cru","Bebida isotônica, sabores variados","Chuchu, cru","Cação, posta, com farinha de trigo, frita","Queijo, requeijão, cremoso","Abóbora, cabotian, crua","Óleo, de milho","Abiu, cru",-0.988095238095238,172.953,2562.175
185,"Pipoca, com óleo de soja, sem sal","Queijo, ricota","Manga, Palmer, crua","Biscoito, doce, maisena","Grão-de-bico, cru","Abóbora, cabotian, cozida","Croquete, de carne, cru","Ovo, de galinha, clara, cozida/10minutos","Limão, cravo, suco","Polvilho, doce","Lambari, fresco, cru","Leite, de cabra","Almeirão, refogado","Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","Manga, Palmer, crua",-0.9523809523809522,128.15,5259.442999999999
186,"Cereais, mingau, milho, infantil","Bebida láctea, pêssego","Pequi, cru","Pão, trigo, forma, integral","Amendoim, torrado, salgado","Manjericão, cru","Carne, bovina, costela, assada","Omelete, de queijo","Uva, suco concentrado, envasado","Quiabo, cru","Pescada, branca, frita",Creme de Leite,"Chicória, crua","Óleo, de milho","Tamarindo, cru",-2.533333333333333,55.924,3364.787
187,"Macarrão, instantâneo","Leite, fermentado","Pequi, cru","Bolo, pronto, coco","Feijão, rosinha, cru","Mandioca, cozida","Frango, fígado, cru","Omelete, de queijo","Limão, galego, suco","Mandioca, frita","Tucunaré, filé, congelado, cru","Leite, de cabra","Pepino, cru","Manteiga, com sal","Goiaba, doce, cascão",-2.1619047619047618,57.123000000000005,3445.022
188,"Pastel, massa, frita","Queijo, petit suisse, morango","Fruta-pão, crua","Biscoito, doce, wafer, recheado de morango","Feijão, roxo, cru","Manjericão, cru","Carne, bovina, fraldinha, com gordura, crua","Ovo, de galinha, inteiro, frito","Bebida isotônica, sabores variados","Farinha, de mandioca, torrada","Dourada de água doce, fresca",Creme de Leite,"Abobrinha, italiana, crua","Óleo, de girassol","Maracujá, cru",-2.9333333333333336,78.155,3651.574
189,"Macarrão, instantâneo","Bebida láctea, pêssego","Pequi, cru","Pastel, de carne, frito","Feijão, rajado, cozido","Manjericão, cru","Frango, fígado, cru","Ovo, de galinha, inteiro, cozido/10minutos","Bebida isotônica, sabores variados","Feijão, broto, cru","Abadejo, filé, congelado, grelhado","Queijo, requeijão, cremoso","Nhoque, batata, cozido","Óleo, de pequi","Banana, maçã, crua",-1.0452380952380953,92.59800000000001,2423.06
190,"Pamonha, barra para cozimento, pré-cozida","Bebida láctea, pêssego","Ameixa, calda, enlatada","Biscoito, doce, maisena","Feijão, preto, cru","Alho-poró, cru","Frango, coxa, sem pele, crua","Omelete, de queijo","Laranja, lima, suco","Mandioca, frita","Salmão, sem pele, fresco, grelhado","Leite, de vaca, integral, pó","Mandioca, farofa, temperada","Óleo, de soja","Uva, Rubi, crua",-2.6666666666666665,57.233000000000004,2479.8659999999995
191,"Lasanha, massa fresca, crua","Iogurte, sabor pêssego","Laranja, lima, crua","Bolo, mistura para","Feijão, carioca, cru","Espinafre, Nova Zelândia, refogado","Carne, bovina, patinho, sem gordura, cru","Ovo, de galinha, inteiro, cozido/10minutos","Café, infusão 10%","Mandioca, frita","Salmão, sem pele, fresco, grelhado","Queijo, requeijão, cremoso","Tomate, purê","Margarina, com óleo interesterificado, sem sal (65% de lipídeos)","Caqui, chocolate, cru",-2.466666666666667,28.468,2438.9770000000003
192,"Lasanha, massa fresca, crua","Iogurte, sabor pêssego","Tucumã, cru","Pastel, de carne, frito","Pé-de-moleque, amendoim","Quiabo, cru","Carne, bovina, paleta, com gordura, crua","Omelete, de queijo","Cana, aguardente 1","Couve-flor, crua","Lambari, congelado, cru","Leite, de vaca, desnatado, pó","Batata, baroa, cozida","Óleo, de milho","Mexerica, Murcote, crua",-2.4,38.687000000000005,3077.741
193,"Creme de arroz, pó","Queijo, minas, meia cura","Goiaba, doce em pasta","Pastel, de queijo, cru","Feijão, preto, cru","Jurubeba, crua","Carne, bovina, lagarto, cru","Ovo, de galinha, inteiro, cozido/10minutos","Café, infusão 10%","Mandioca, frita","Bacalhau, salgado, refogado","Queijo, minas, frescal","Chuchu, cozido","Óleo, de pequi","Atemóia, crua",-2.466666666666667,95.52399999999997,3664.2290000000003
194,"Pastel, de carne, cru","Iogurte, sabor morango","Goiaba, doce em pasta","Polenta, pré-cozida","Feijão, preto, cru","Pimentão, amarelo, cru","Hambúrguer, bovino, cru","Omelete, de queijo","Refrigerante, tipo cola","Salsa, crua","Cação, posta, com farinha de trigo, frita","Queijo, minas, frescal","Nhoque, batata, cozido","Manteiga, sem sal","Figo, enlatado, em calda",-0.5976190476190477,121.97900000000001,3780.1839999999997
195,"Cereal matinal, milho","Iogurte, natural","Pequi, cru","Arroz, tipo 1, cozido","Feijão, fradinho, cozido","Cebola, crua","Carne, bovina, picanha, sem gordura, grelhada","Ovo, de galinha, gema, cozida/10minutos","Refrigerante, tipo água tônica","Pepino, cru","Cação, posta, com farinha de trigo, frita","Queijo, minas, frescal","Caruru, cru","Azeite, de dendê","Abacaxi, polpa, congelada",-1.407142857142857,100.419,4516.336
196,"Cereais, mingau, milho, infantil","Leite, de vaca, desnatado, UHT","Pêra, Park, crua","Mingau tradicional, pó","Grão-de-bico, cru","Alho, cru","Carne, bovina, peito, sem gordura, cozido","Omelete, de queijo","Cana, caldo de","Pimentão, amarelo, cru","Corimbatá, assado","Queijo, minas, frescal","Abóbora, cabotian, crua","Óleo, de girassol","Fruta-pão, crua",-2.216666666666667,36.949,3606.3450000000007
197,"Bolo, pronto, aipim","Queijo, minas, frescal","Ameixa, em calda, enlatada, drenada","Pastel, de carne, frito","Amendoim, torrado, salgado","Taioba, crua","Frango, coxa, sem pele, crua","Omelete, de queijo","Refrigerante, tipo cola","Abobrinha, italiana, cozida","Pescada, filé, com farinha de trigo, frito","Queijo, mozarela","Maxixe, cru","Óleo, de canola","Uva, Rubi, crua",-2.5142857142857142,81.664,2450.42
198,"Bolo, pronto, milho","Iogurte, natural","Caju, polpa, congelada","Pastel, massa, crua","Tremoço, em conserva","Repolho, roxo, refogado","Carne, bovina, paleta, sem gordura, cozida","Ovo, de galinha, clara, cozida/10minutos","Cerveja, pilsen 2","Nhoque, batata, cozido","Pintado, grelhado","Queijo, prato","Manjericão, cru","Margarina, com óleo hidrogenado, com sal (65% de lipídeos)","Pêra, Williams, crua",-0.4666666666666668,200.365,4574.114
199,"Bolo, pronto, aipim","Bebida láctea, pêssego","Tamarindo, cru","Biscoito, doce, wafer, recheado de chocolate","Ervilha, enlatada, drenada","Manjericão, cru","Carne, bovina, bucho, cru","Omelete, de queijo","Limão, galego, suco","Mandioca, frita","Pescada, filé, molho escabeche","Queijo, parmesão","Couve, manteiga, crua","Manteiga, sem sal","Pêssego, enlatado, em calda",-2.352380952380952,37.37800000000001,4108.071
